"","year","age_group_5_years","race_eth","first_degree_hx","age_menarche","age_first_birth","BIRADS_breast_density","current_hrt","menopaus","bmi_group","biophx","breast_cancer_history","count"
"1090080",2009,7,1,0,9,9,4,0,2,9,1,0,93
"1127106",2009,10,2,1,9,9,3,0,2,9,0,0,23
"522089",2004,6,1,0,9,3,9,0,1,1,0,0,175
"1044133",2009,4,1,0,9,4,9,0,1,2,0,0,142
"385648",2003,5,1,1,9,9,9,0,1,9,0,0,285
"928848",2007,13,1,0,9,9,3,0,2,9,0,0,189
"587553",2004,11,1,1,1,1,3,1,2,9,1,0,2
"887934",2007,8,1,0,1,1,2,0,2,3,1,0,32
"367985",2003,4,1,0,9,9,3,0,3,4,0,0,4
"211959",2001,10,1,1,2,1,3,1,2,3,0,0,3
"876280",2007,7,1,0,2,0,3,9,2,3,0,0,4
"745236",2006,5,2,1,9,9,3,9,1,9,0,9,1
"447163",2003,9,1,9,0,2,9,9,2,9,0,0,1
"951153",2008,5,1,0,9,9,3,0,1,2,0,0,158
"643959",2005,6,1,0,9,4,9,9,9,9,0,9,31
"820044",2006,12,3,0,1,9,3,9,2,1,0,9,1
"635264",2005,5,6,0,0,9,2,0,1,9,0,0,4
"957619",2008,5,5,0,1,9,2,0,9,2,1,0,2
"908859",2007,10,1,0,1,2,3,0,2,2,1,0,12
"396444",2003,6,1,0,1,1,3,0,9,2,0,0,8
"516545",2004,6,1,0,0,3,9,0,1,9,1,1,1
"1132414",2009,11,1,0,9,9,2,0,2,9,1,1,187
"177193",2001,7,1,0,9,9,2,0,2,9,0,0,1107
"939081",2008,4,1,0,9,9,2,0,1,3,0,0,82
"415579",2003,6,9,0,9,4,9,9,9,9,9,9,42
"1102713",2009,8,1,0,9,3,9,0,2,2,0,0,57
"189789",2001,8,1,0,9,9,3,0,2,9,0,9,484
"833131",2007,4,1,0,9,4,9,9,1,4,0,0,2
"315288",2002,8,2,1,9,9,3,0,2,9,1,0,6
"394462",2003,6,1,0,0,0,3,0,1,2,0,0,18
"833409",2007,4,1,0,9,9,4,0,1,1,0,0,149
"773339",2006,7,1,0,9,4,9,0,2,2,1,0,66
"1044383",2009,4,1,0,9,9,3,0,1,9,0,0,1006
"887555",2007,8,1,0,0,4,9,0,2,1,1,0,16
"933507",2008,3,1,0,9,9,2,0,1,1,0,0,67
"172404",2001,6,9,0,2,0,1,1,2,9,0,0,3
"425008",2003,7,3,0,9,3,9,1,2,2,0,0,2
"199555",2001,9,1,0,2,2,2,0,2,3,1,0,3
"266492",2002,5,3,0,9,9,9,0,1,9,0,0,475
"1103077",2009,8,1,0,9,9,2,0,2,9,9,9,659
"905149",2007,9,3,0,9,9,9,9,2,9,0,9,47
"365643",2003,4,1,0,1,9,2,0,1,9,0,0,376
"1066283",2009,5,9,0,9,9,2,0,1,9,0,0,472
"164000",2001,6,1,9,9,9,9,9,9,1,9,9,595
"159381",2001,6,1,0,9,9,2,0,1,9,0,9,392
"837680",2007,4,4,0,9,9,3,0,9,9,0,0,29
"996576",2008,8,1,1,0,4,3,0,2,2,1,9,1
"313794",2002,8,1,1,9,3,2,1,2,1,0,0,4
"320106",2002,8,9,9,9,9,9,9,2,9,9,9,2044
"1120570",2009,9,6,0,1,1,3,0,2,9,0,0,2
"8345",2000,4,1,0,0,0,3,0,3,2,0,0,4
"280070",2002,6,1,0,9,9,9,9,9,9,9,9,2132
"890155",2007,8,1,0,9,3,2,1,2,9,0,0,6
"254196",2002,4,9,0,9,9,4,1,2,9,0,0,16
"484214",2004,3,5,1,9,9,9,9,1,1,0,0,1
"625719",2005,5,1,0,9,9,3,0,1,1,0,0,541
"1006081",2008,9,1,0,2,2,2,0,2,9,0,0,43
"126051",2001,4,1,0,9,9,3,9,1,9,0,0,46
"540703",2004,7,1,0,2,4,2,1,2,3,1,0,6
"725849",2006,3,9,9,9,9,4,9,9,9,0,0,129
"850353",2007,5,3,0,9,3,3,0,1,4,1,0,1
"90173",2000,10,1,0,1,1,9,0,2,1,1,1,7
"62818",2000,7,1,9,9,9,3,1,2,9,1,1,37
"584970",2004,11,1,0,1,1,3,0,2,9,1,0,26
"704869",2005,11,1,0,1,4,3,9,2,1,0,9,3
"303313",2002,7,3,0,9,4,9,1,2,9,0,0,45
"762352",2006,6,2,0,9,9,2,0,1,9,1,0,48
"394140",2003,5,9,0,9,9,9,9,9,9,9,9,1304
"269720",2002,5,5,0,9,9,9,0,3,9,0,0,30
"1068109",2009,6,1,0,0,9,3,0,9,9,0,0,135
"445312",2003,9,1,1,0,0,2,0,2,3,0,0,7
"336127",2002,10,2,0,9,9,2,0,2,9,0,0,450
"559763",2004,8,3,0,1,0,9,1,2,9,0,0,1
"673546",2005,8,1,0,1,1,2,0,2,3,0,0,88
"174233",2001,7,1,0,1,0,4,1,2,3,0,0,1
"112024",2000,13,1,0,9,9,2,0,2,9,0,9,93
"108489",2000,12,1,1,9,0,2,0,2,9,1,0,2
